StateCode,StateName,DistrictCode,NameofCity,Level,PopulationPersons,PopulationMales,PopulationFemale,0-6PopulationPersons,0-6PopulationMales,0-6PopulationFemales,LiteratesPersons,LiterateMales,LiteratesFemales,SexRatio,0-6ChildSexRatio,EffLiteracyRatePersons,EffLiteracyRateMales,EffLiteracyRatesFemales
09,UTTAR PRADESH,48,Sultanpur UA,UA,"1,16,211","61,062","55,149","12,368","6,577","5,791","90,980","49,828","41,152",903,880,87.61,91.45,83.37
09,UTTAR PRADESH,60,Azamgarh UA,UA,"1,16,165","60,678","55,487","13,287","7,136","6,151","88,748","48,716","40,032",914,862,86.27,90.99,81.14
09,UTTAR PRADESH,03,Bijnor UA,UA,"1,15,381","60,656","54,725","14,499","7,760","6,739","78,584","43,122","35,462",902,868,77.90,81.52,73.90
09,UTTAR PRADESH,54,Basti (NPP),City,"1,14,651","60,126","54,525","12,568","6,541","6,027","87,065","48,473","38,592",907,921,85.29,90.46,79.57
09,UTTAR PRADESH,04,Chandausi (NPP),City,"1,14,254","60,238","54,016","14,417","7,730","6,687","72,515","40,323","32,192",897,865,72.63,76.79,68.02
09,UTTAR PRADESH,47,Akbarpur (NPP),City,"1,11,594","57,560","54,034","14,037","7,247","6,790","75,062","42,208","32,854",939,937,76.94,83.89,69.54
09,UTTAR PRADESH,62,Ballia UA,UA,"1,11,287","59,340","51,947","11,522","6,145","5,377","86,442","48,425","38,017",875,875,86.65,91.03,81.63
09,UTTAR PRADESH,60,Mubarakpur UA,UA,"1,09,539","55,946","53,593","16,147","8,168","7,979","64,678","34,825","29,853",958,977,69.25,72.89,65.45
09,UTTAR PRADESH,10,Greater Noida (CT),CT,"1,07,676","58,662","49,014","15,517","8,512","7,005","79,757","45,878","33,879",836,823,86.54,91.48,80.65
09,UTTAR PRADESH,16,Shikohabad (NPP),City,"1,07,300","57,017","50,283","12,956","7,106","5,850","77,060","43,030","34,030",882,823,81.68,86.21,76.59
09,UTTAR PRADESH,02,Shamli (NPP),City,"1,07,233","57,236","49,997","13,724","7,634","6,090","76,650","43,469","33,181",874,798,81.97,87.64,75.57
09,UTTAR PRADESH,08,Baraut (NPP),City,"1,02,733","54,521","48,212","13,536","7,387","6,149","69,559","39,900","29,659",884,832,77.98,84.65,70.51
09,UTTAR PRADESH,71,Kasganj (NPP),City,"1,01,241","53,507","47,734","13,043","7,139","5,904","69,289","38,933","30,356",892,827,78.56,83.97,72.57
10,BIHAR,28,Patna UA,UA,"20,46,652","10,87,864","9,58,788","2,39,035","1,27,866","1,11,169","15,19,295","8,39,640","6,79,655",881,869,84.05,87.46,80.18
10,BIHAR,34,Gaya UA,UA,"4,70,839","2,49,797","2,21,042","59,669","31,323","28,346","3,51,365","1,97,004","1,54,361",885,905,85.45,90.17,80.11
10,BIHAR,22,Bhagalpur UA,UA,"4,10,210","2,18,284","1,91,926","55,898","29,081","26,817","2,86,125","1,60,720","1,25,405",879,922,80.76,84.95,75.95
10,BIHAR,14,Muzaffarpur UA,UA,"3,93,724","2,08,509","1,85,215","47,784","25,300","22,484","2,94,297","1,62,629","1,31,668",888,889,85.07,88.77,80.91
10,BIHAR,09,Purnia UA,UA,"3,10,817","1,63,892","1,46,925","45,730","23,519","22,211","1,96,272","1,11,028","85,244",896,944,74.04,79.09,68.35
10,BIHAR,13,Darbhanga UA,UA,"3,06,089","1,61,346","1,44,743","42,213","22,176","20,037","2,13,048","1,20,206","92,842",897,904,80.74,86.37,74.45
10,BIHAR,27,Biharsharif (M Corp.),City,"2,96,889","1,54,915","1,41,974","43,646","22,758","20,888","1,89,420","1,10,247","79,173",916,918,74.80,83.42,65.39
